"","Event","Sport","Season","Year_City","Year"
"3994","Athletics Men's Pole Vault","Athletics","Summer","1992 Barcelona",1992
"3995","Modern Pentathlon Women's Individual","Modern Pentathlon","Summer","2008 Beijing",2008
"3996","Modern Pentathlon Women's Individual","Modern Pentathlon","Summer","2012 London",2012
"3997","Alpine Skiing Men's Downhill","Alpine Skiing","Winter","1984 Sarajevo",1984
"3998","Wrestling Men's Featherweight, Greco-Roman","Wrestling","Summer","1992 Barcelona",1992
"3999","Wrestling Men's Welterweight, Greco-Roman","Wrestling","Summer","2004 Athina",2004
"4000","Judo Women's Middleweight","Judo","Summer","2000 Sydney",2000
"4001","Judo Women's Middleweight","Judo","Summer","2004 Athina",2004
"4002","Athletics Women's 4 x 100 metres Relay","Athletics","Summer","1984 Los Angeles",1984
"4003","Bobsleigh Men's Two","Bobsleigh","Winter","1932 Lake Placid",1932
"4004","Modern Pentathlon Men's Individual","Modern Pentathlon","Summer","1924 Paris",1924
"4005","Shooting Men's Small-Bore Rifle, Three Positions, 50 metres","Shooting","Summer","1964 Tokyo",1964
"4006","Swimming Women's 4 x 100 metres Freestyle Relay","Swimming","Summer","1980 Moskva",1980
"4007","Swimming Women's 100 metres Freestyle","Swimming","Summer","1984 Los Angeles",1984
"4008","Athletics Women's 100 metres","Athletics","Summer","1952 Helsinki",1952
"4009","Athletics Women's 100 metres","Athletics","Summer","1956 Melbourne",1956
"4010","Athletics Women's 200 metres","Athletics","Summer","1956 Melbourne",1956
"4011","Athletics Women's 4 x 100 metres Relay","Athletics","Summer","1956 Melbourne",1956
"4012","Athletics Men's 4 x 100 metres Relay","Athletics","Summer","2008 Beijing",2008
"4013","Alpine Skiing Women's Downhill","Alpine Skiing","Winter","1984 Sarajevo",1984
"4014","Alpine Skiing Women's Super G","Alpine Skiing","Winter","1988 Calgary",1988
"4015","Athletics Men's Shot Put","Athletics","Summer","2012 London",2012
"4016","Sailing Women's Two Person Dinghy","Sailing","Summer","2000 Sydney",2000
"4017","Sailing Women's Two Person Dinghy","Sailing","Summer","2004 Athina",2004
"4018","Diving Men's Springboard","Diving","Summer","1976 Montreal",1976
"4019","Cycling Women's Road Race, Individual","Cycling","Summer","2004 Athina",2004
"4020","Cycling Women's Road Race, Individual","Cycling","Summer","2008 Beijing",2008
"4021","Cycling Women's Individual Time Trial","Cycling","Summer","2008 Beijing",2008
"4022","Cycling Women's Individual Time Trial","Cycling","Summer","2016 Rio de Janeiro",2016
"4023","Wrestling Men's Lightweight, Freestyle","Wrestling","Summer","1936 Berlin",1936
"4024","Swimming Women's 200 metres Breaststroke","Swimming","Summer","1948 London",1948
"4025","Swimming Men's 100 metres Backstroke","Swimming","Summer","2008 Beijing",2008
"4026","Sailing Men's Two Person Dinghy","Sailing","Summer","1988 Seoul",1988
"4027","Rowing Men's Coxed Pairs","Rowing","Summer","1956 Melbourne",1956
"4028","Cycling Women's Individual Pursuit, 3,000 metres","Cycling","Summer","1996 Atlanta",1996
"4029","Cycling Women's Points Race","Cycling","Summer","1996 Atlanta",1996
"4030","Cycling Women's Individual Time Trial","Cycling","Summer","2000 Sydney",2000
"4031","Cycling Women's Individual Pursuit, 3,000 metres","Cycling","Summer","2000 Sydney",2000
"4032","Cycling Women's Points Race","Cycling","Summer","2000 Sydney",2000
"4033","Cycling Women's Individual Time Trial","Cycling","Summer","2004 Athina",2004
"4034","Cycling Women's Team Pursuit","Cycling","Summer","2012 London",2012
"4035","Athletics Women's 200 metres","Athletics","Summer","1952 Helsinki",1952
"4036","Bobsleigh Men's Two","Bobsleigh","Winter","2014 Sochi",2014
"4037","Bobsleigh Men's Four","Bobsleigh","Winter","2014 Sochi",2014
"4038","Judo Men's Extra-Lightweight","Judo","Summer","1980 Moskva",1980
"4039","Tennis Women's Singles","Tennis","Summer","1912 Stockholm",1912
"4040","Tennis Mixed Doubles","Tennis","Summer","1912 Stockholm",1912
"4041","Sailing Mixed Skiff","Sailing","Summer","2000 Sydney",2000
"4042","Swimming Women's 400 metres Freestyle","Swimming","Summer","1992 Barcelona",1992
"4043","Swimming Women's 800 metres Freestyle","Swimming","Summer","1992 Barcelona",1992
"4044","Cycling Men's 5,000 metres","Cycling","Summer","1906 Athina",1906
"4045","Weightlifting Men's Light-Heavyweight","Weightlifting","Summer","1968 Mexico City",1968
"4046","Ski Jumping Men's Normal Hill, Individual","Ski Jumping","Winter","1984 Sarajevo",1984
"4047","Tug-Of-War Men's Tug-Of-War","Tug-Of-War","Summer","1906 Athina",1906
"4048","Wrestling Men's Heavyweight, Greco-Roman","Wrestling","Summer","1906 Athina",1906
"4049","Archery Women's Team","Archery","Summer","2008 Beijing",2008
"4050","Tug-Of-War Men's Tug-Of-War","Tug-Of-War","Summer","1920 Antwerpen",1920
"4051","Weightlifting Men's Bantamweight","Weightlifting","Summer","1992 Barcelona",1992
"4052","Swimming Women's 200 metres Butterfly","Swimming","Summer","1988 Seoul",1988
"4053","Swimming Women's 200 metres Freestyle","Swimming","Summer","1992 Barcelona",1992
"4054","Weightlifting Men's Lightweight","Weightlifting","Summer","1920 Antwerpen",1920
"4055","Athletics Women's Heptathlon","Athletics","Summer","1992 Barcelona",1992
"4056","Athletics Men's 20 kilometres Walk","Athletics","Summer","1972 Munich",1972
"4057","Gymnastics Men's Individual All-Around","Gymnastics","Summer","2012 London",2012
"4058","Gymnastics Men's Pommelled Horse","Gymnastics","Summer","2012 London",2012
"4059","Athletics Men's Javelin Throw","Athletics","Summer","1984 Los Angeles",1984
"4060","Biathlon Men's 20 kilometres","Biathlon","Winter","1972 Sapporo",1972
"4061","Biathlon Men's 4 x 7.5 kilometres Relay","Biathlon","Winter","1972 Sapporo",1972
"4062","Fencing Men's Foil, Team","Fencing","Summer","1992 Barcelona",1992
"4063","Fencing Men's Foil, Team","Fencing","Summer","1996 Atlanta",1996
"4064","Sailing Men's Two Person Keelboat","Sailing","Summer","2004 Athina",2004
"4065","Athletics Men's 110 metres Hurdles","Athletics","Summer","1968 Mexico City",1968
"4066","Boxing Men's Middleweight","Boxing","Summer","1976 Montreal",1976
"4067","Shooting Men's Rapid-Fire Pistol, 25 metres","Shooting","Summer","1988 Seoul",1988
"4068","Judo Men's Lightweight","Judo","Summer","1964 Tokyo",1964
"4069","Fencing Women's Foil, Team","Fencing","Summer","1968 Mexico City",1968
"4070","Athletics Men's Marathon","Athletics","Summer","1920 Antwerpen",1920
"4071","Swimming Women's 200 metres Freestyle","Swimming","Summer","1968 Mexico City",1968
"4072","Cycling Men's Points Race","Cycling","Summer","2004 Athina",2004
"4073","Cycling Men's Points Race","Cycling","Summer","2008 Beijing",2008
"4074","Boxing Men's Featherweight","Boxing","Summer","1936 Berlin",1936
"4075","Cross Country Skiing Women's 30 kilometres","Cross Country Skiing","Winter","2010 Vancouver",2010
"4076","Athletics Women's 200 metres","Athletics","Summer","2004 Athina",2004
"4077","Athletics Women's 4 x 100 metres Relay","Athletics","Summer","2004 Athina",2004
"4078","Boxing Men's Lightweight","Boxing","Summer","1988 Seoul",1988
"4079","Weightlifting Men's Heavyweight","Weightlifting","Summer","2012 London",2012
"4080","Boxing Men's Flyweight","Boxing","Summer","2008 Beijing",2008
"4081","Cycling Men's Keirin","Cycling","Summer","2000 Sydney",2000
"4082","Cycling Men's Team Sprint","Cycling","Summer","2000 Sydney",2000
"4083","Weightlifting Men's Light-Heavyweight","Weightlifting","Summer","1988 Seoul",1988
"4084","Swimming Women's 4 x 200 metres Freestyle Relay","Swimming","Summer","2000 Sydney",2000
"4085","Gymnastics Women's Individual All-Around","Gymnastics","Summer","1976 Montreal",1976
"4086","Gymnastics Women's Team All-Around","Gymnastics","Summer","1976 Montreal",1976
"4087","Gymnastics Women's Floor Exercise","Gymnastics","Summer","1976 Montreal",1976
"4088","Gymnastics Women's Horse Vault","Gymnastics","Summer","1976 Montreal",1976
"4089","Gymnastics Women's Uneven Bars","Gymnastics","Summer","1976 Montreal",1976
"4090","Gymnastics Women's Balance Beam","Gymnastics","Summer","1976 Montreal",1976
"4091","Swimming Women's 200 metres Freestyle","Swimming","Summer","2012 London",2012
"4092","Boxing Men's Lightweight","Boxing","Summer","1992 Barcelona",1992
"4093","Weightlifting Men's Lightweight","Weightlifting","Summer","2000 Sydney",2000
"4094","Shooting Women's Small-Bore Rifle, Three Positions, 50 metres","Shooting","Summer","2016 Rio de Janeiro",2016
"4095","Boxing Men's Middleweight","Boxing","Summer","2008 Beijing",2008
"4096","Boxing Men's Light-Heavyweight","Boxing","Summer","1948 London",1948
"4097","Weightlifting Men's Light-Heavyweight","Weightlifting","Summer","1996 Atlanta",1996
"4098","Weightlifting Women's Heavyweight","Weightlifting","Summer","2016 Rio de Janeiro",2016
"4099","Weightlifting Men's Middle-Heavyweight","Weightlifting","Summer","1972 Munich",1972
"4100","Sailing Mixed 6 metres","Sailing","Summer","1908 London",1908
"4101","Equestrianism Men's Dressage, Individual","Equestrianism","Summer","1920 Antwerpen",1920
"4102","Cycling Women's Road Race, Individual","Cycling","Summer","1992 Barcelona",1992
"4103","Speed Skating Women's 3,000 metres","Speed Skating","Winter","1972 Sapporo",1972
"4104","Speed Skating Men's 5,000 metres","Speed Skating","Winter","1964 Innsbruck",1964
"4105","Shooting Women's Sporting Pistol, 25 metres","Shooting","Summer","2012 London",2012
"4106","Shooting Women's Sporting Pistol, 25 metres","Shooting","Summer","2016 Rio de Janeiro",2016
"4107","Beach Volleyball Women's Beach Volleyball","Beach Volleyball","Summer","2012 London",2012
"4108","Athletics Men's 5 mile","Athletics","Summer","1906 Athina",1906
"4109","Athletics Men's Shot Put","Athletics","Summer","1948 London",1948
"4110","Athletics Men's Javelin Throw","Athletics","Summer","2008 Beijing",2008
"4111","Shooting Men's Running Target, Single Shot","Shooting","Summer","1912 Stockholm",1912
"4112","Shooting Men's Running Target, Single Shot, Team","Shooting","Summer","1912 Stockholm",1912
"4113","Shooting Men's Running Target, Double Shot","Shooting","Summer","1912 Stockholm",1912
"4114","Tennis Women's Singles","Tennis","Summer","2012 London",2012
"4115","Tennis Mixed Doubles","Tennis","Summer","2012 London",2012
"4116","Ice Hockey Men's Ice Hockey","Ice Hockey","Summer","1920 Antwerpen",1920
"4117","Boxing Men's Light-Middleweight","Boxing","Summer","1996 Atlanta",1996
"4118","Athletics Men's Long Jump","Athletics","Summer","2012 London",2012
"4119","Archery Women's Individual","Archery","Summer","1992 Barcelona",1992
"4120","Archery Women's Team","Archery","Summer","1992 Barcelona",1992
"4121","Figure Skating Women's Singles","Figure Skating","Winter","2014 Sochi",2014
"4122","Boxing Men's Light-Flyweight","Boxing","Summer","1980 Moskva",1980
"4123","Tennis Women's Singles","Tennis","Summer","2004 Athina",2004
"4124","Judo Men's Extra-Lightweight","Judo","Summer","1988 Seoul",1988
"4125","Shooting Mixed Trap","Shooting","Summer","1980 Moskva",1980
"4126","Athletics Men's 4 x 400 metres Relay","Athletics","Summer","1968 Mexico City",1968
"4127","Speed Skating Men's 500 metres","Speed Skating","Winter","1956 Cortina d'Ampezzo",1956
"4128","Bobsleigh Women's Two","Bobsleigh","Winter","2010 Vancouver",2010
"4129","Luge Mixed (Men)'s Doubles","Luge","Winter","1968 Grenoble",1968
"4130","Ski Jumping Men's Normal Hill, Individual","Ski Jumping","Winter","1976 Innsbruck",1976
"4131","Ski Jumping Men's Large Hill, Individual","Ski Jumping","Winter","1976 Innsbruck",1976
"4132","Gymnastics Men's Team All-Around","Gymnastics","Summer","1904 St. Louis",1904
"4133","Canoeing Women's Kayak Singles, 500 metres","Canoeing","Summer","1952 Helsinki",1952
"4134","Wrestling Men's Welterweight, Greco-Roman","Wrestling","Summer","1996 Atlanta",1996
"4135","Athletics Men's 3,000 metres Steeplechase","Athletics","Summer","1976 Montreal",1976
"4136","Ski Jumping Men's Normal Hill, Individual","Ski Jumping","Winter","1948 Sankt Moritz",1948
"4137","Figure Skating Mixed Pairs","Figure Skating","Winter","1956 Cortina d'Ampezzo",1956
"4138","Athletics Men's 110 metres Hurdles","Athletics","Summer","1904 St. Louis",1904
"4139","Swimming Men's 200 metres Individual Medley","Swimming","Summer","2016 Rio de Janeiro",2016
"4140","Sailing Mixed One Person Dinghy","Sailing","Summer","1984 Los Angeles",1984
"4141","Sailing Mixed Multihull","Sailing","Summer","2008 Beijing",2008
"4142","Swimming Women's 100 metres Breaststroke","Swimming","Summer","2004 Athina",2004
"4143","Athletics Men's 1,500 metres","Athletics","Summer","1928 Amsterdam",1928
"4144","Rowing Men's Single Sculls","Rowing","Summer","1900 Paris",1900
"4145","Athletics Men's 3,000 metres Steeplechase","Athletics","Summer","1956 Melbourne",1956
"4146","Boxing Men's Lightweight","Boxing","Summer","2004 Athina",2004
"4147","Athletics Men's 800 metres","Athletics","Summer","1908 London",1908
"4148","Swimming Men's 4 x 100 metres Freestyle Relay","Swimming","Summer","1996 Atlanta",1996
"4149","Cycling Men's Individual Pursuit, 4,000 metres","Cycling","Summer","1964 Tokyo",1964
"4150","Rhythmic Gymnastics Women's Individual","Rhythmic Gymnastics","Summer","2016 Rio de Janeiro",2016
"4151","Sailing Men's Windsurfer","Sailing","Summer","2004 Athina",2004
"4152","Golf Women's Individual","Golf","Summer","2016 Rio de Janeiro",2016
"4153","Wrestling Men's Flyweight, Freestyle","Wrestling","Summer","1980 Moskva",1980
"4154","Taekwondo Men's Flyweight","Taekwondo","Summer","2016 Rio de Janeiro",2016
"4155","Swimming Women's 100 metres Backstroke","Swimming","Summer","1972 Munich",1972
"4156","Swimming Women's 200 metres Backstroke","Swimming","Summer","1972 Munich",1972
"4157","Canoeing Women's Kayak Singles, Slalom","Canoeing","Summer","1972 Munich",1972
"4158","Wrestling Men's Lightweight, Freestyle","Wrestling","Summer","1972 Munich",1972
"4159","Athletics Men's Pole Vault","Athletics","Summer","1988 Seoul",1988
"4160","Swimming Women's 400 metres Freestyle","Swimming","Summer","2016 Rio de Janeiro",2016
"4161","Swimming Women's 800 metres Freestyle","Swimming","Summer","2016 Rio de Janeiro",2016
"4162","Speed Skating Women's 500 metres","Speed Skating","Winter","1960 Squaw Valley",1960
"4163","Speed Skating Women's 1,000 metres","Speed Skating","Winter","1960 Squaw Valley",1960
"4164","Speed Skating Women's 1,500 metres","Speed Skating","Winter","1960 Squaw Valley",1960
"4165","Speed Skating Women's 3,000 metres","Speed Skating","Winter","1960 Squaw Valley",1960
"4166","Speed Skating Women's 500 metres","Speed Skating","Winter","1964 Innsbruck",1964
"4167","Speed Skating Women's 1,000 metres","Speed Skating","Winter","1964 Innsbruck",1964
"4168","Speed Skating Women's 3,000 metres","Speed Skating","Winter","1964 Innsbruck",1964
"4169","Speed Skating Women's 1,000 metres","Speed Skating","Winter","1968 Grenoble",1968
"4170","Speed Skating Women's 1,500 metres","Speed Skating","Winter","1968 Grenoble",1968
"4171","Speed Skating Women's 3,000 metres","Speed Skating","Winter","1968 Grenoble",1968
"4172","Taekwondo Men's Heavyweight","Taekwondo","Summer","2004 Athina",2004
"4173","Boxing Men's Flyweight","Boxing","Summer","2000 Sydney",2000
"4174","Equestrianism Men's Three-Day Event, Individual","Equestrianism","Summer","1920 Antwerpen",1920
"4175","Athletics Men's 400 metres","Athletics","Summer","1968 Mexico City",1968
"4176","Cycling Men's Individual Pursuit, 4,000 metres","Cycling","Summer","2004 Athina",2004
"4177","Cycling Men's Individual Time Trial","Cycling","Summer","2008 Beijing",2008
"4178","Wrestling Men's Welterweight, Freestyle","Wrestling","Summer","2000 Sydney",2000
"4179","Alpine Skiing Women's Downhill","Alpine Skiing","Winter","1976 Innsbruck",1976
"4180","Alpine Skiing Women's Giant Slalom","Alpine Skiing","Winter","1976 Innsbruck",1976
"4181","Alpine Skiing Women's Slalom","Alpine Skiing","Winter","1976 Innsbruck",1976
"4182","Judo Women's Half-Lightweight","Judo","Summer","2004 Athina",2004
"4183","Athletics Men's Discus Throw","Athletics","Summer","1924 Paris",1924
"4184","Athletics Men's 10,000 metres","Athletics","Summer","1936 Berlin",1936
"4185","Athletics Men's Marathon","Athletics","Summer","1956 Melbourne",1956
"4186","Weightlifting Men's Super-Heavyweight","Weightlifting","Summer","1996 Atlanta",1996
"4187","Wrestling Men's Lightweight, Freestyle","Wrestling","Summer","2004 Athina",2004
"4188","Wrestling Men's Middleweight, Greco-Roman","Wrestling","Summer","2004 Athina",2004
"4189","Cross Country Skiing Men's 30 kilometres","Cross Country Skiing","Winter","1972 Sapporo",1972
"4190","Equestrianism Mixed Jumping, Team","Equestrianism","Summer","1980 Moskva",1980
"4191","Rhythmic Gymnastics Women's Individual","Rhythmic Gymnastics","Summer","2000 Sydney",2000
"4192","Shooting Mixed Skeet","Shooting","Summer","1976 Montreal",1976
"4193","Weightlifting Men's Middle-Heavyweight","Weightlifting","Summer","1964 Tokyo",1964
"4194","Boxing Men's Middleweight","Boxing","Summer","1908 London",1908
"4195","Shooting Women's Air Pistol, 10 metres","Shooting","Summer","2008 Beijing",2008
"4196","Weightlifting Men's Heavyweight I","Weightlifting","Summer","1980 Moskva",1980
"4197","Wrestling Men's Middleweight, Freestyle","Wrestling","Summer","1972 Munich",1972
